theme,user,title,content
Malnutrition,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Exercice Physique,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Maladie cardiovasculaires,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Cécité,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Prostitution,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Infertilité,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Antisémitisme,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Racisme,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Haine anti-musulman,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Terrorisme,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Homophobie,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Égalité hommes-femmes,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Racisme anti-blanc,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Racisme anti-asiatique,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
"Ségrégation sociale, culturelle",saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Manque de dialogue social,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Diversité et Inclusion,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Orphelins,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Harcèlement Scolaire,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Personnes en réinsertion,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Violence et Délinquance,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Fondamentalisme Islamiste,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Data Privacy,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Inégalités économiques,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Chômage,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Pauvreté,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Mal-logement/Non-logement,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Désertion rurale,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Pollution,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Dévégétalisation,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Déchet,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Disparition du mode de vie paysan,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Disparition de la biodiversité,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Maltraitance Animale,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Énergies fossiles ou renouvelables,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Pesticides,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Élevage Industriel ou Agriculture Durable,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Burn-out,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Communication & problèmes interpersonnels,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Addiction et comportements addictifs,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Consommation et Surconsommation,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Anxiété,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Dépression,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Dépendance technologique,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Solitude et Isolement,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Vie Romantique & Sexuelle,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Éducation Initiale,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Formation et reformation professionnelle,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Esprit critique et fake news,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Démocratie,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Protection du patrimoine Français,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Défense de la francophonie,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Cuisine et Gastronomie,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Traditions Populaires,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Conservation des Paysages,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Endettement,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Recherche,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Sécurité,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Justice,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Culture,saspreas@ajc-mail.com,Je suis entièrement d'accord avec Charles,J'aimerais rajouter les points suivants qui permettent de mieux comprendre les pistes de réponse
Tabagisme,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Drogues,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Obésité,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Malnutrition,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Exercice Physique,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Maladie cardiovasculaires,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Cécité,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Prostitution,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Infertilité,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Antisémitisme,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Racisme,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Haine anti-musulman,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Terrorisme,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Homophobie,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Égalité hommes-femmes,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Racisme anti-blanc,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Racisme anti-asiatique,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
"Ségrégation sociale, culturelle",eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Manque de dialogue social,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Diversité et Inclusion,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Orphelins,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Harcèlement Scolaire,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Personnes en réinsertion,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Violence et Délinquance,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Fondamentalisme Islamiste,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Data Privacy,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Inégalités économiques,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Chômage,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Pauvreté,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Mal-logement/Non-logement,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Désertion rurale,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Pollution,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Dévégétalisation,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Déchet,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Disparition du mode de vie paysan,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Disparition de la biodiversité,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Maltraitance Animale,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Énergies fossiles ou renouvelables,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Pesticides,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Élevage Industriel ou Agriculture Durable,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Burn-out,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Communication & problèmes interpersonnels,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Addiction et comportements addictifs,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Consommation et Surconsommation,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Anxiété,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Dépression,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Dépendance technologique,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Solitude et Isolement,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Vie Romantique & Sexuelle,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Éducation Initiale,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Formation et reformation professionnelle,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Esprit critique et fake news,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Démocratie,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Protection du patrimoine Français,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Défense de la francophonie,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Cuisine et Gastronomie,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Traditions Populaires,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Conservation des Paysages,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
Endettement,eleonore.breton@hec.edu,Je ne suis pas du tout d'accord avec Charles,Et voilà pourquoi tout ce qu'il a dit est totalement faux.
